,rating,review,SentimantValue,predectedValue
0,5,“ممتاز”. كل شي. لا يوجد,1,1
1,5,“ممتاز جدا”. نظيف .. وراقي جدا ... ,1,1
2,5,استثنائي. فندق نظيف وممتاز وحسن استفبال وخذمه ممتازه. كل شي ممتاز,1,1
3,4,“أستمتع فى أجواء الكرنيش”. الموقع و راحه وخدمات. سعر غالي جداجدا جداافطار غالي جدا جدا جدا,1,1
4,5,استثنائي. التعامل اللطيففخامة الغرفة و ملحقاتها. بوفيه الافطار اصنافه محدوده,1,1
5,5,“مكان رائع للإقامة”. كل شئ الفندق متميز في كل شئ. لا يوجد,1,1
6,5,“فندق روعه”. تصميم وهدو ومسابح وشاطي نظيف. الانترنت ليست مجانيه,1,1
7,5,“للراحة عنوان فى سراى عجمان.”. كل شئ. لا يوجد.,1,1
8,5,"“للفخامة عنوان وهو سراي”. كل شيء رائع وجميل ، غرف فخمة واثاث يحملك الى عالم القصور الرائعة.. ",1,1
9,4,جيد. . المطعم,1,1
10,4,“يستحق العودة”. الموقع ممتاز في التوجه الراشد مول والراشد بلازا  و الظهران مول اقل من خمس دقائق توجهك ايضا لجسر البحرين او منطقة السويكت او كورنيش الخبر مناسبه ماعندك الا اشاره واحده ونزل للطريق السريعالنظافة  ممتازه كونها شقق جديده نتمنى المحافظه على هذ المستوى موظف الاستقبال عبد العظيم كان تعامله سريع جدا لاجراءات الدخول يستحق العوده له اذا استمر في المحافظه على نظافة الشقق والاثاث. ضيق المواقف بالنسبه للسيارات العائليه الكبيره,1,1
11,1,“صفر”. سيئه جدا. لا شي,0,0
12,5,“روعه”. قمة الراحه واشكر صاحب الفندق ع المساده والخدمات. لا شي,1,1
13,4,جيد. . دورات المياة قديمة وغيرمناسبة لتقييم,1,1
14,4,جيد. الاستقبال والمعاملة كانت ممتازة .الانترنت جداً سريع .النظافة. لايوجد,1,1
15,4,جيد. . الصور لا تعكس الواقع,1,1
16,1,“احذرو من هذه الشقق المفروشه (أجواء)”. لا شيء. خدمة سيئه لأبعد الحدودالفرش جديد لكنه رديئ جداأجهزة التكييف جديده لكنها سيئهطاقم العمل فاشل ولا يستطيع ان يتصرف اذا واجهتك مشكله في الشقه,0,0
17,1,ضعيف جداً. . دورت المياه سيئه والماء ضعيف جدا  وزعاج صوت الطائرات لقربه من القاعده الجويه,0,0
18,4,جيد جداً. النظافه الموقع. عدم الدخول بلوقت المحددقله مواقف السيارات,1,1
19,4,جيد جداً. . لايوجد دفع شبكه فقط كاش,1,1
20,4,“النظافة و المبنى جديد”. قريب من المجمعات. لاتوجد مواقف كافيةوالغرف صغيرة,1,1
21,5,استثنائي. حسن الاستقبال وحسن التعامل. ,1,1
