,rating,review,SentimantValue,predectedValue
0,5,“דדÊַׂ”. ßב װם. בַ םזּֿ,1,1
1,5,“דדÊַׂ ַּֿ”. הÙםÝ .. זַׁÞם ַּֿ ... ,1,1
2,5,ַ׃Êֻהֶַם. ÝהֿÞ הÙםÝ זדדÊַׂ זֽ׃ה ַ׃ÊÝַָב ז־׀דו דדÊַׂו. ßב װם דדÊַׂ,1,1
3,4,“ֳ׃ÊדÊÚ Ýל ֳּזֱַ ַבßׁהםװ”. ַבדזÞÚ ז ַֽׁו ז־ֿדַÊ. ׃Úׁ Ûַבם ַַּּֿֿ ַַּֿÝ״ַׁ Ûַבם ַּֿ ַּֿ ַּֿ,1,1
4,5,ַ׃Êֻהֶַם. ַבÊÚַדב ַבב״םÝÝ־ַדֹ ַבÛׁÝֹ ז דבֽÞַÊוַ. ָזÝםו ַבַÝ״ַׁ ַױהַÝו דֽֿזֿו,1,1
5,5,“דßַה ֶַׁÚ בבֵÞַדֹ”. ßב װֶ ַבÝהֿÞ דÊדםׂ Ýם ßב װֶ. בַ םזּֿ,1,1
6,5,“ÝהֿÞ ׁזÚו”. Êױדםד זוֿז זד׃ַָֽ זװַ״ם הÙםÝ. ַבַהÊׁהÊ בם׃Ê דַּהםו,1,1
7,5,“בבַֹֽׁ Úהזַה Ýל ׃ַׁל Úּדַה.”. ßב װֶ. בַ םזּֿ.,1,1
8,5,"“בבÝ־ַדֹ Úהזַה זוז ׃ַׁם”. ßב װםֱ ֶַׁÚ זּדםב ¡ ÛׁÝ Ý־דֹ זַַֻֻ םֽדבß ַבל Úַבד ַבÞױזׁ ַבֶַׁÚֹ.. ",1,1
9,4,ּםֿ. . ַבד״Úד,1,1
